AnR1,AnR2,CL1,CL2,IT1,IT2,T1,T2,PU1,PU2,SP1,SP2,SP3,CS1,CS2,VM1,VM2,PI1,PI2,PI3,OS1,OS2,OS3,OS4,OS5,LOYALTY
1,2,1,1,1,2,1,1,1,2,3,3,4,2,3,3,4,3,4,3,4,4,3,3,2,3.28
2,2,3,3,2,3,2,1,3,2,4,2,4,3,4,4,4,5,5,5,5,2,5,5,2,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2.92
3,2,4,5,2,3,2,3,4,3,3,2,3,2,2,3,3,2,4,4,3,4,3,2,2,2.76
2,2,2,1,2,2,3,3,3,2,4,3,3,3,3,3,4,1,3,3,4,3,3,4,3,2.88
3,4,4,3,2,3,1,3,4,3,3,3,3,2,3,3,3,3,2,4,3,2,2,3,3,2.88
2,2,2,3,2,4,3,1,2,4,4,4,3,3,3,3,4,2,3,4,3,4,2,2,3,2.4
3,4,3,3,4,1,2,2,3,2,2,1,2,2,2,3,3,3,1,3,2,3,2,2,2,2.64
5,5,2,2,4,2,2,2,4,2,1,1,2,4,4,1,2,4,5,2,2,2,2,2,2,2.72
4,3,3,3,3,3,1,1,3,3,2,2,2,3,3,4,4,3,1,1,3,4,3,3,3,2.6
2,2,3,2,3,3,1,1,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2.4
3,2,3,3,2,2,1,2,2,2,1,3,3,3,1,3,2,3,5,2,3,3,2,2,2,3.04
3,3,3,3,3,4,2,2,3,3,3,3,3,3,4,4,4,3,1,2,3,4,3,3,4,2.6
3,3,3,3,4,2,2,1,4,1,2,1,3,2,3,3,4,3,1,2,3,4,2,3,3,2.84
3,3,4,3,3,3,2,3,3,3,3,3,3,2,3,3,3,1,2,3,3,3,3,3,3,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3.16
5,4,4,3,3,3,2,2,4,3,4,4,4,4,4,4,2,1,2,2,2,3,4,3,3,1.76
2,4,2,3,2,1,1,1,1,1,3,1,2,3,3,1,1,5,1,1,1,1,1,1,1,2.8
1,2,2,3,4,3,2,2,2,1,2,2,2,4,2,3,1,1,4,4,5,5,4,4,5,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3.08
3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2.96
3,3,3,3,2,4,2,2,3,1,3,3,3,4,4,5,1,5,3,2,4,2,3,3,3,4
5,5,5,5,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.76
3,3,3,3,3,3,1,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3
4,2,4,3,2,4,1,3,5,1,2,5,2,2,5,3,3,2,3,3,2,4,4,2,4,3.16
3,3,4,1,4,4,3,3,3,3,2,2,4,4,3,4,3,4,3,2,4,3,3,5,2,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2.8
3,4,2,3,4,3,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.44
4,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2.76
2,3,3,3,3,5,1,1,4,3,3,2,2,4,3,4,3,1,2,2,3,3,3,3,3,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2.72
5,4,3,2,4,4,2,2,4,4,2,5,5,1,1,1,3,3,1,3,2,2,2,2,1,2.96
3,4,4,4,3,3,1,1,3,1,3,2,2,4,4,4,3,2,4,3,3,4,3,3,3,2.96
4,4,3,5,4,4,2,2,4,4,4,1,2,4,4,2,3,3,2,2,2,3,2,2,2,2.52
4,4,3,4,4,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2.88
3,3,2,2,3,3,1,1,4,3,3,3,3,2,3,3,3,1,5,4,3,4,3,3,4,2.6
3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,3,3,3,3,2,3,2,3,3,3,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3.04
2,3,3,3,2,3,3,1,3,3,4,3,3,3,3,3,4,3,4,3,4,3,3,4,3,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,1.04
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.2
4,5,5,5,5,5,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2.8
3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2.6
2,3,2,2,3,2,2,2,3,3,3,2,2,2,3,4,4,2,1,3,4,3,3,2,3,3.4
5,5,5,5,5,5,1,2,4,4,4,4,4,1,1,1,3,5,5,5,3,2,2,2,2,3.4
