ONR,C,SM,T,PU,SQ,CS,Csat,CL,PI,LOYALTY
6,9,6,6,8,6,9,9,6,8,5.983
7,7,7,7,9,8,9,7,8,10,6.621
8,8,8,7,8,8,8,8,8,7,7.274
8,7,7,7,9,9,8,7,9,7,7.016
7,8,7,8,9,8,8,8,7,6,6.758
8,7,7,6,9,9,8,7,9,8,6.964
7,7,7,8,9,7,8,7,7,7,6.602
8,8,9,7,8,8,7,8,8,8,7.545
10,9,9,7,10,9,7,9,7,9,8.522
9,8,8,6,6,8,7,8,8,8,7.446
7,8,8,6,6,8,8,8,8,7,6.741
8,7,7,6,7,7,8,7,8,8,6.732
8,8,8,7,9,8,8,8,8,8,7.342
8,9,9,7,8,9,8,9,8,8,7.706
8,8,8,7,8,8,8,8,9,6,7.283
8,8,8,7,8,8,8,8,8,7,7.275
10,9,8,7,9,9,9,9,9,6,8.205
7,8,7,6,6,6,7,8,7,10,6.382
6,6,9,7,6,7,7,6,7,6,6.422
8,8,8,7,8,8,8,8,8,7,7.274
8,8,9,8,9,8,8,8,8,8,7.666
8,8,8,7,8,8,8,8,8,7,7.274
8,8,7,7,9,8,8,8,8,10,7.086
10,9,9,7,9,9,9,9,10,9,8.502
8,8,8,6,8,8,8,8,8,7,7.216
9,9,7,6,9,10,7,9,9,7,7.584
8,6,9,8,9,8,9,6,9,9,7.457
8,8,8,7,8,8,8,8,8,7,7.274
8,9,9,6,10,7,8,9,7,8,7.669
8,8,8,8,8,8,8,8,7,10,7.331
9,8,8,7,9,7,7,8,8,7,7.64
7,9,8,6,8,9,7,9,8,6,7.022
8,8,8,7,8,8,8,8,8,7,7.276
10,9,9,7,9,9,10,9,8,8,8.468
8,8,8,6,8,8,7,8,9,7,7.23
9,7,9,7,9,9,7,7,8,8,7.89
9,9,9,7,9,7,7,9,8,8,8.027
8,8,8,6,8,9,8,8,7,6,7.244
8,8,8,7,8,8,8,8,8,8,7.279
7,7,7,8,7,8,8,7,8,7,6.537
8,8,8,7,8,8,8,8,8,8,7.277
6,6,6,6,6,6,6,6,8,7,5.538
9,10,10,8,10,10,9,10,6,6,8.628
8,8,8,7,8,8,8,8,10,9,7.312
8,8,8,7,8,8,8,8,8,7,7.273
7,8,8,7,8,8,7,8,8,7,6.925
10,10,10,6,10,9,9,10,7,7,8.838
7,8,7,6,7,7,9,8,10,10,6.533
7,8,8,6,9,7,7,8,6,9,6.866
8,7,8,7,8,8,8,7,8,10,7.175
